Date,Num_Rides
2022-03-12,121776
2022-03-13,100133
2022-03-14,98693
2022-03-15,112729
2022-03-16,119733
2022-03-17,116633
2022-03-18,128276
2022-03-19,120655
2022-03-20,100169
2022-03-21,100551
2022-03-22,113331
2022-03-23,122056
2022-03-24,124345
2022-03-25,124059
2022-03-26,127324
2022-03-27,107222
2022-03-28,112277
2022-03-29,123866
2022-03-30,126442
2022-03-31,128465
2022-04-01,135547
2022-04-02,127957
2022-04-03,104448
2022-04-04,109726
2022-04-05,121968
2022-04-06,124764
2022-04-07,129116
2022-04-08,130708
2022-04-09,128584
2022-04-10,109767
2022-04-11,107538
2022-04-12,117809
2022-04-13,122117
2022-04-14,128179
2022-04-15,121835
2022-04-16,115277
2022-04-17,96306
2022-04-18,103235
2022-04-19,118539
2022-04-20,121534
2022-04-21,127415
2022-04-22,128247
2022-04-23,124411
2022-04-24,103935
2022-04-25,106623
2022-04-26,120156
2022-04-27,127674
2022-04-28,129292
2022-04-29,129113
2022-04-30,127942
2022-05-01,100191
2022-05-02,95596
2022-05-03,120446
2022-05-04,125434
2022-05-05,131774
2022-05-06,128032
2022-05-07,118187
2022-05-08,103575
2022-05-09,107893
2022-05-10,121334
2022-05-11,127614
2022-05-12,133017
2022-05-13,129999
2022-05-14,125805
2022-05-15,106627
2022-05-16,113886
2022-05-17,122954
2022-05-18,125685
2022-05-19,128777
2022-05-20,123896
2022-05-21,124071
2022-05-22,101488
2022-05-23,110461
2022-05-24,120595
2022-05-25,121986
2022-05-26,121296
2022-05-27,110473
2022-05-28,98828
2022-05-29,91671
2022-05-30,83190
2022-05-31,113371
2022-06-01,121897
2022-06-02,125442
2022-06-03,124843
2022-06-04,122564
2022-06-05,102225
2022-06-06,112515
2022-06-07,127606
2022-06-08,129391
2022-06-09,132859
2022-06-10,128739
2022-06-11,121444
2022-06-12,99095
2022-06-13,118511
2022-06-14,125404
2022-06-15,130473
2022-06-16,129297
2022-06-17,125639
2022-06-18,116015
2022-06-19,98895
2022-06-20,100787
2022-06-21,121645
2022-06-22,123232
2022-06-23,130512
2022-06-24,124645
2022-06-25,119974
2022-06-26,93154
2022-06-27,104815
2022-06-28,114168
2022-06-29,117386
2022-06-30,114440
2022-07-01,102176
2022-07-02,86782
2022-07-03,74899
2022-07-04,64887
2022-07-05,94906
2022-07-06,103805
2022-07-07,108181
2022-07-08,104675
2022-07-09,96848
2022-07-10,85315
2022-07-11,97683
2022-07-12,113204
2022-07-13,118331
2022-07-14,118605
2022-07-15,111240
2022-07-16,107205
2022-07-17,90877
2022-07-18,97683
2022-07-19,115112
2022-07-20,118961
2022-07-21,117184
2022-07-22,110232
2022-07-23,104466
2022-07-24,91216
2022-07-25,95691
2022-07-26,110850
2022-07-27,115698
2022-07-28,116813
2022-07-29,110678
2022-07-30,102431
2022-07-31,87678
2022-08-01,92294
2022-08-02,108256
2022-08-03,110853
2022-08-04,113408
2022-08-05,108362
2022-08-06,105647
2022-08-07,87277
2022-08-08,97791
2022-08-09,112476
2022-08-10,85626
2022-08-11,114694
2022-08-12,108633
2022-08-13,100702
2022-08-14,85750
2022-08-15,92816
2022-08-16,104352
2022-08-17,107363
2022-08-18,109376
2022-08-19,105384
2022-08-20,101258
2022-08-21,86306
2022-08-22,91612
2022-08-23,105238
2022-08-24,107904
2022-08-25,109576
2022-08-26,105994
2022-08-27,103349
2022-08-28,87886
2022-08-29,91401
2022-08-30,105144
2022-08-31,105896
2022-09-01,106962
2022-09-02,103320
2022-09-03,96934
2022-09-04,88481
2022-09-05,80419
2022-09-06,102106
2022-09-07,118921
2022-09-08,124662
2022-09-09,125174
2022-09-10,117628
2022-09-11,101167
2022-09-12,110826
2022-09-13,122003
2022-09-14,124052
2022-09-15,127956
2022-09-16,125862
2022-09-17,59501
2022-09-18,4229
2022-09-19,105585
2022-09-20,106678
2022-09-21,102864
2022-09-22,109086
2022-09-23,119173
2022-09-24,117453
2022-09-25,99174
2022-09-26,97024
2022-09-27,113328
2022-09-28,122550
2022-09-29,126801
2022-09-30,123771
2022-10-01,118049
2022-10-02,95806
2022-10-03,108671
2022-10-04,109671
2022-10-05,114764
2022-10-06,123838
2022-10-07,125029
2022-10-08,122419
2022-10-09,98213
2022-10-10,94815
2022-10-11,119423
2022-10-12,124848
2022-10-13,128716
2022-10-14,127324
2022-10-15,127002
2022-10-16,108571
2022-10-17,111867
2022-10-18,124694
2022-10-19,129781
2022-10-20,132409
2022-10-21,129437
2022-10-22,128225
2022-10-23,105866
2022-10-24,111417
2022-10-25,123128
2022-10-26,128891
2022-10-27,132412
2022-10-28,132215
2022-10-29,127966
2022-10-30,108386
2022-10-31,101467
2022-11-01,120506
2022-11-02,126271
2022-11-03,131484
2022-11-04,130682
2022-11-05,130401
2022-11-06,104570
2022-11-07,112135
2022-11-08,121121
2022-11-09,128700
2022-11-10,132727
2022-11-11,117728
2022-11-12,130944
2022-11-13,114269
2022-11-14,82278
2022-11-15,90728
2022-11-16,92660
2022-11-17,95344
2022-11-18,95454
2022-11-19,94932
2022-11-20,81125
2022-11-21,108526
2022-11-22,114546
2022-11-23,105640
2022-11-24,69663
2022-11-25,86607
2022-11-26,99513
2022-11-27,90529
2022-11-28,106488
2022-11-29,119372
2022-11-30,117677
2022-12-01,130584
2022-12-02,129951
2022-12-03,129172
2022-12-04,111619
2022-12-05,113626
2022-12-06,120179
2022-12-07,125589
2022-12-08,133862
2022-12-09,135397
2022-12-10,129278
2022-12-11,107756
2022-12-12,112374
2022-12-13,124239
2022-12-14,129324
2022-12-15,131175
2022-12-16,127755
2022-12-17,125382
2022-12-18,102878
2022-12-19,112460
2022-12-20,116021
2022-12-21,113560
2022-12-22,102850
2022-12-23,95028
2022-12-24,75519
2022-12-25,50109
2022-12-26,67459
2022-12-27,86290
2022-12-28,89065
